ICB Code,ICB Name,population_2024,incomplete_pathways,within_18_weeks,plus_52_plus_weeks,pct_within_18_weeks,pct_52_plus_weeks,backlog_per_100k,plus_52_per_100k,within_18_per_100k
QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1862474,363256,236804,5916,0.6518928799524303,0.01628603519281168,19503.95012225674,317.642018089917,12714.4862156465
QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1262719,345288,208568,3986,0.6040406848775515,0.011543986469266236,27344.801179043,315.66801481564784,16517.372432029613
QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,955401,240380,142886,3740,0.594417172809718,0.015558698727015558,25160.116014113442,391.4586650003506,14955.605028673825
QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1025309,175782,122010,758,0.6940983718469468,0.004312159379231093,17144.295036910822,73.92893264372009,11899.827271583494
QVV,NHS DORSET INTEGRATED CARE BOARD,798914,187088,119130,3718,0.6367591721542804,0.019873000940733774,23417.78964944913,465.3817557334081,14911.492350866301
QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,1549431,410778,257360,5112,0.6265184600927995,0.01244467814732045,26511.538751967655,329.92756695845117,16609.96843357336
QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2487154,475482,323200,3704,0.67973130423444,0.007789989947043211,19117.513431013922,148.92523744006203,12994.772338182516
QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1001233,242606,146298,5016,0.6030271304089758,0.020675498544965913,24230.723517902425,500.9822888378629,14611.783670733985
QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1085554,288018,183718,4034,0.6378698553562625,0.014006069065127875,26531.890629116562,371.6074925798256,16923.89323792276
QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,2615425,693724,408060,15416,0.5882166394704522,0.022222094089291995,26524.33160958544,589.4261926837894,15602.053203590238
