ICB Name,Total number of incomplete pathways,Total within 18 weeks,Total 52 plus weeks,pct_within_18_weeks,pct_52_plus_weeks
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",224902,142128,2488,0.6319552516207059,0.01106259615299108
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",263738,159906,5020,0.6063062584837983,0.01903404135922772
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,312802,192966,2258,0.6168950326404563,0.007218623921841932
NHS BLACK COUNTRY INTEGRATED CARE BOARD,345288,208568,3986,0.6040406848775515,0.011543986469266236
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",175782,122010,758,0.6940983718469468,0.004312159379231093
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",363256,236804,5916,0.6518928799524303,0.01628603519281168
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,240380,142886,3740,0.594417172809718,0.015558698727015558
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,693724,408060,15416,0.5882166394704522,0.022222094089291995
NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,103534,74008,804,0.7148183205517028,0.007765564935190372
NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,242606,146298,5016,0.6030271304089758,0.020675498544965913
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,232680,136282,5508,0.5857056902183256,0.02367199587416194
NHS DEVON INTEGRATED CARE BOARD,310660,196406,6678,0.6322217214961694,0.02149616944569626
NHS DORSET INTEGRATED CARE BOARD,187088,119130,3718,0.6367591721542804,0.019873000940733774
NHS FRIMLEY INTEGRATED CARE BOARD,143202,82746,2768,0.5778271253194788,0.01932933897571263
NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,140466,96558,258,0.6874119003887061,0.0018367434112169492
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,826752,483718,15844,0.5850823463384425,0.01916415079733705
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,389682,233746,9670,0.5998378164759984,0.02481510565024815
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,185508,112732,2532,0.6076934687452832,0.013649007050908856
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,385648,243808,7956,0.6322034601501888,0.020630212006804132
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,428150,252124,10794,0.58886838724746,0.025210790610767253
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,461150,279398,7526,0.6058722758321587,0.016320069391738048
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,483720,298434,8564,0.6169560903001736,0.01770445712395601
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",245758,130904,5866,0.5326540743332873,0.023869009350662034
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,214790,120320,2288,0.5601750547045952,0.010652265003026212
NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,397540,205074,27160,0.5158575237711929,0.0683201690395935
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,270550,155568,9632,0.575006468305304,0.035601552393272964
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,407102,249550,6174,0.6129913387799618,0.015165732420867498
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,692706,482738,7624,0.6968872797406115,0.011006112261190174
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,509642,318136,8092,0.6242342664066148,0.015877812268219653
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,586776,367360,6766,0.626065142405279,0.011530805622588517
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,179948,109584,2636,0.6089759263787317,0.014648676284259898
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,263272,152646,6174,0.5798033972469537,0.02345103163268407
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",131602,84514,1192,0.642193887630887,0.009057613106183797
NHS SOMERSET INTEGRATED CARE BOARD,129336,81192,2460,0.6277602523659306,0.019020226387084803
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,440038,279494,8522,0.6351587817415769,0.019366509256018797
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,410778,257360,5112,0.6265184600927995,0.01244467814732045
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,212368,139464,2950,0.6567091087169442,0.01389098169215701
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,277454,174226,4818,0.6279455333136303,0.017365040691429932
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,258852,148686,5644,0.5744054517639423,0.021803965200191615
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,288018,183718,4034,0.6378698553562625,0.014006069065127875
NHS SUSSEX INTEGRATED CARE BOARD,506204,293396,13550,0.5796003192388839,0.026767864339278236
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,475482,323200,3704,0.67973130423444,0.007789989947043211
